date,store_number,sales_amount
05-02-2010,1,1643690.9
05-02-2010,2,2136989.46
05-02-2010,3,461622.22
05-02-2010,4,2135143.87
05-02-2010,5,317173.1
05-02-2010,6,1652635.1
05-02-2010,7,496725.44
05-02-2010,8,1004137.09
05-02-2010,9,549505.55
05-02-2010,10,2193048.75
05-02-2010,11,1528008.64
05-02-2010,12,1100046.37
05-02-2010,13,1967220.53
05-02-2010,14,2623469.95
05-02-2010,15,652122.44
05-02-2010,16,477409.3
05-02-2010,17,789036.02
05-02-2010,18,1205307.5
05-02-2010,19,1507637.17
05-02-2010,20,2401395.47
05-02-2010,21,798593.88
05-02-2010,22,1033017.37
05-02-2010,23,1364721.58
05-02-2010,24,1388725.63
05-02-2010,25,677231.63
05-02-2010,26,1034119.21
05-02-2010,27,1874289.79
05-02-2010,28,1672352.29
05-02-2010,29,538634.46
05-02-2010,30,465108.52
05-02-2010,31,1469252.05
05-02-2010,32,1087616.19
05-02-2010,33,274593.43
05-02-2010,34,956228.96
05-02-2010,35,1230613.5
05-02-2010,36,467546.74
05-02-2010,37,536006.73
05-02-2010,38,358496.14
05-02-2010,39,1230596.8
05-02-2010,40,1001943.8
05-02-2010,41,1086533.18
05-02-2010,42,543384.01
05-02-2010,43,647029.28
05-02-2010,44,281090.95
05-02-2010,45,890689.51
12-02-2010,1,1641957.44
12-02-2010,2,2137809.5
12-02-2010,3,420728.96
12-02-2010,4,2188307.39
12-02-2010,5,311825.7
12-02-2010,6,1606283.86
12-02-2010,7,524104.92
12-02-2010,8,994801.4
12-02-2010,9,552677.48
12-02-2010,10,2176028.52
12-02-2010,11,1574684.08
12-02-2010,12,1117863.33
12-02-2010,13,2030933.46
12-02-2010,14,1704218.84
12-02-2010,15,682447.1
12-02-2010,16,472044.28
12-02-2010,17,841951.91
12-02-2010,18,1187880.7
12-02-2010,19,1536549.95
12-02-2010,20,2109107.9
12-02-2010,21,809321.44
12-02-2010,22,1022571.25
12-02-2010,23,1380892.08
12-02-2010,24,1414107.1
12-02-2010,25,583364.02
12-02-2010,26,1015684.09
12-02-2010,27,1745362.72
12-02-2010,28,1558968.49
12-02-2010,29,529672.95
12-02-2010,30,497374.57
12-02-2010,31,1543947.23
12-02-2010,32,1123566.12
12-02-2010,33,294882.83
12-02-2010,34,994610.99
12-02-2010,35,1168815.31
12-02-2010,36,469563.7
12-02-2010,37,529852.7
12-02-2010,38,342214.9
12-02-2010,39,1266229.07
12-02-2010,40,955338.29
12-02-2010,41,1075656.34
12-02-2010,42,575709.96
12-02-2010,43,682918.99
12-02-2010,44,286857.13
